millis;AcX;AcY;AcZ;T(Celsius);GyX;GyY;GyZ
16838;-788;104;17292;25.99;173;100;-13
17189;-752;240;17324;26.13;193;111;-23
17526;-884;248;17136;25.99;243;100;-128
17863;-844;44;17184;26.04;-120;101;244
18200;-868;48;17348;25.99;145;98;72
18537;-864;160;17232;25.99;263;104;31
18873;-724;184;17352;26.04;173;117;25
19210;-904;272;17308;26.04;191;97;16
19547;-812;164;17196;26.18;215;101;29
19884;-760;72;17220;25.99;187;127;7
20220;-876;204;17348;26.04;134;125;14
20556;-756;68;17224;26.08;177;128;4
20893;-800;184;17252;25.94;358;147;-2164
21230;-804;-216;17348;25.94;357;132;-2284
21567;-720;-32;17356;26.04;547;161;-5520
21904;-1196;808;17308;25.99;797;126;-7224
22241;-876;68;17100;25.99;743;135;-8659
22578;-784;-312;17192;25.99;1019;146;-7771
22915;-992;860;17228;25.94;343;153;-5632
23251;-868;1308;17352;26.04;384;-57;-3510
23588;-1012;240;17140;26.04;268;79;-121
23925;-888;196;17216;25.99;218;99;5
24261;-836;184;17164;26.04;167;122;42
24598;-944;460;17168;25.99;247;79;-281
24935;-932;332;17232;26.04;162;116;29
25272;-924;364;17260;26.04;190;119;31
25609;-888;344;17144;26.08;158;134;33
25945;-912;328;17312;26.04;152;110;63
26281;-912;392;17388;25.99;96;92;632
26618;-816;336;17160;26.04;93;143;642
26955;-952;316;17316;25.99;145;106;541
27292;-956;428;17164;25.99;151;105;437
27629;-768;216;17164;26.08;87;142;1081
27965;-888;288;17344;26.04;-93;128;3918
28302;-688;288;17164;26.08;-14;133;3241
28639;-860;180;16904;26.04;-214;152;9216
28976;-788;1028;17020;26.04;-227;153;5347
29313;-672;412;17384;26.04;-180;86;9088
29649;-748;160;17420;25.94;213;99;1675
29986;-692;304;17152;25.94;111;137;27
30323;-748;360;17328;26.13;164;157;36
30660;-700;336;17264;26.08;103;160;54
30996;-772;396;17384;26.04;123;117;248
31333;-864;180;17408;26.08;92;147;145
31670;-824;276;17276;25.99;159;135;17
32007;-720;172;17108;26.08;145;132;145
32344;-660;268;17300;26.04;148;118;56
32680;-812;212;17276;26.13;159;115;43
33016;-676;80;17352;25.94;189;100;36
33353;-700;156;17316;26.04;124;146;54
33690;-752;80;17332;26.08;99;138;2
34027;-796;80;17264;26.04;107;131;38
34363;-764;60;17224;25.99;131;128;29
34700;-824;60;17276;25.94;155;99;4
35037;-792;176;17112;25.94;173;142;30
35374;-760;80;17244;25.99;187;119;13
35709;-752;24;17452;25.99;176;119;34
36046;-812;40;17464;25.99;179;125;38
36383;-824;80;17248;25.94;187;129;36
36720;-872;88;17332;25.94;163;129;29
37057;-868;60;17312;25.94;187;106;35
37393;-684;-8;17124;26.04;196;120;22
37730;-820;20;17304;26.13;176;143;34
38067;-752;180;17080;26.08;174;122;24

